#N	Cinf	M	Csup	Cinf	M	Csup	Cinf M Csup (k=1)
10	1	1	1	1	1	1	1	1	1												
100	0.839	0.891	0.943	0.995	0.996	0.997	0.961	0.971	0.981						
250	0.135	0.149	0.162	0.814	0.837	0.860	0.790	0.805	0.821						
500	0.029	0.030	0.032	0.187	0.191	0.195	0.463	0.470	0.477						
750	0.015	0.017	0.018	0.125	0.128	0.130	0.291	0.297	0.303
1000	0.010	0.011	0.011	0.091	0.093	0.094	0.209	0.214 0.219
2000	0.005	0.005	0.006	0.050	0.051	0.052	0.095	0.097	0.098

