#			Aloha 											CSMA   									AlohaNoAck (ms)
#N		Cinf		M				Csup		Cinf			M			Csup		Cinf			M			Csup
10		86.355	87.785	89.215	89.430	91.138	92.846		59.12	59.15	59.18			
100		98.839	104.215	109.590	105.165	106.655	108.14		61.12	61.15	61.18
250		588.53	622.01	655.49	169.27	177.69	186.11		63.12	63.15	63.18
#400																													65.49	65.50	65.51
500		1084.40	1093.55	1102.69	23416.75	23608.83	23800.90	65.5	65.52	65.53	
750		1176.51	1181.57	1186.64	25524.21	25623.62	25723.02	65.52	65.54	65.55
1000	1219.99	1222.94	1225.89	26656.63	26734.46	26812.28	65.54	65.56	65.57
2000	1290.45	1293.30	1296.15	27724.88	27754.68	27784.48	65.51	65.58	65.59
