#			Aloha 											CSMA   
#N		Cinf		M				Csup		Cinf			M			Csup
10		0.020	0.026	0.032	0.020	0.026	0.032
100		0.028	0.030	0.033	0.028	0.031	0.033
250		0.036	0.043	0.050	0.033	0.036	0.038
500		0.083	0.098	0.113	0.038	0.039	0.041
750		0.250	0.279	0.308	0.046	0.048	0.050
1000	0.491	0.526	0.561	0.055	0.060	0.065
1250	0.941	0.969	0.997	0.127	0.154	0.182
1500	1.064	1.090	1.116	1.379	1.388	1.397	
1750	1.009	1.041	1.072	1.068	1.079	1.090
2000	0.922	0.951	0.980	0.835	0.847	0.859
