#			AlohaAck 											CSMA    						AlohaNoAck (ms)
#N		Cinf		M				Csup		Cinf			M			Csup		Cinf			M			Csup
10		0.126	0.131	0.136	0.257	0.261	0.265				0.205	0.205	0.205					
100		0.168	0.174	0.181	0.191	0.196	0.201				0.200	0.201	0.203
250		0.973	1.012	1.051	0.414	0.443	0.472				0.197	0.198	0.200
#400																							0.171	0.233	0.295
500		1.018	1.060	1.103	5682.95	5766.23	5849.50		0.152	0.153	0.154		
750		0.701	0.729	0.758	7138.53	7218.03	7297.53		0.150	0.151	0.152
1000	0.522	0.544	0.567	6954.40	7067.50	7180.61		0.148	0.149	0.150
2000	0.257	0.266	0.274	5314.22	5422.34	5530.46		0.146	0.147	0.148
