#N	Pi*N		Cinf	M	Csup (cw=1022)	Cinf	M	Csup (cw=512)		Cinf	M	Csup (cw=64)		withOuCapture		withCapture
10	0.0228	1.000 1.000 1.000		1.000 1.000 1.000		1.000 1.000 1.000		0.999		0.999		
40	0.0912	0.999	0.999	1.000		0.999	0.999	1.000		0.999	0.999	1.000		0.991		0.997
70	0.1596	0.999	0.999	0.999		0.998	0.999	0.999		0.993	0.996	0.999		0.974		0.992
100	0.228		0.998	0.998	0.999		0.997	0.998	0.999		0.993	0.995	0.998		0.951		0.984
150	0.342		0.968	0.971	0.973		0.970	0.972	0.974		0.956 0.963 0.970		0.903		0.966
250	0.57		0.859	0.871	0.883		0.730	0.738	0.747		0.689 0.697 0.704		0.784		0.912
