#N	Pi*N		Cinf	M	Csup (cw=1022)	Cinf	M	Csup (cw=512)		Cinf	M	Csup (cw=64)		withOuCapture		withCapture
10	0.0228	1.000 1.000 1.000		1.000 1.000	1.000		1.000 1.000 1.000		0.999		0.999		
40	0.0912	0.999	0.999	1.000		1.000 1.000	1.000		0.999	0.999	1.000		0.997		0.999
70	0.1596	0.999	0.999	0.999		0.999	0.999	0.999		0.994	0.996	0.999		0.988		0.997
100	0.228		0.993	0.994	0.995		0.993 0.994	0.995		0.987	0.991	0.994		0.970		0.993
150	0.342		0.968	0.973	0.977		0.911	0.920	0.930		0.854	0.861	0.869		0.921		0.980
250	0.57		0.919	0.931	0.942		0.788	0.806	0.823		0.535	0.543 0.551		0.775		0.923
